NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ALEYNA MERCAN,03279R,9296547,Oil tanker / Chemical tanker,94.71,86.5,14.7,7.5,6.17,2897,1238,4037,https://www.vesselfinder.com/vessels/details/9296547
TORNADO,35360M,9260067,Oil tanker / Chemical tanker,168,31,17,10.05,5914,25108,40271,175.93,https://www.vesselfinder.com/vessels/details/9260067
SAEHAN JASPER,38102S,9416111,Oil tanker / Chemical tanker,144.09,136,24.2,12.9,9.67,11757,6346,19997,https://www.vesselfinder.com/vessels/details/9416111
AZRA-S,09887Y,9403918,Oil tanker / Chemical tanker,105.5,98.41,16.8,8.6,6.29,3753,1776,5850,https://www.vesselfinder.com/vessels/details/9403918
BORINGIA SWAN,12406M,9566693,Oil tanker / Chemical tanker,109.92,103.18,17.2,8.8,7.15,4812,2229,7000,https://www.vesselfinder.com/vessels/details/9566693
VARKAN EGE,14412S,9433092,Oil tanker / Chemical tanker,88.53,82.26,13.5,6.5,5.4,2222,1064,3542,https://www.vesselfinder.com/vessels/details/9433092
BIG SEA 106,34648N,9855305,Oil tanker,102,97.5,16.4,8.7,5.9,3616,649,4999,https://www.vesselfinder.com/vessels/details/9855305
SAKURA BELLE,16205R,9568500,Oil tanker / Chemical tanker,170,161,26.8,15.6,10.1,19349,7594,26960,https://www.vesselfinder.com/vessels/details/9568500
MORVIKEN,30775D,9817494,Oil tanker,274,267,49,23.3,17.2,80838,50953,157610,https://www.vesselfinder.com/vessels/details/9817494
NGOL CHILOANGO,02940X,9185827,Liquefied gas carrier,88.1,16,7.1,5.11,2017,3392,3318,95.95,https://www.vesselfinder.com/vessels/details/9185827
GRIFFIN,20834X,9390537,Oil tanker / Chemical tanker,121.4,113.4,19.2,10.8,8.29,7057,3430,10778,https://www.vesselfinder.com/vessels/details/9390537
